Label (Grouping),"Arkansas County, Arkansas","Ashley County, Arkansas","Baxter County, Arkansas","Benton County, Arkansas","Boone County, Arkansas","Bradley County, Arkansas","Calhoun County, Arkansas","Carroll County, Arkansas","Chicot County, Arkansas","Clark County, Arkansas","Clay County, Arkansas","Cleburne County, Arkansas","Cleveland County, Arkansas","Columbia County, Arkansas","Conway County, Arkansas","Craighead County, Arkansas","Crawford County, Arkansas","Crittenden County, Arkansas","Cross County, Arkansas","Dallas County, Arkansas","Desha County, Arkansas","Drew County, Arkansas","Faulkner County, Arkansas","Franklin County, Arkansas","Fulton County, Arkansas","Garland County, Arkansas","Grant County, Arkansas","Greene County, Arkansas","Hempstead County, Arkansas","Hot Spring County, Arkansas","Howard County, Arkansas","Independence County, Arkansas","Izard County, Arkansas","Jackson County, Arkansas","Jefferson County, Arkansas","Johnson County, Arkansas","Lafayette County, Arkansas","Lawrence County, Arkansas","Lee County, Arkansas","Lincoln County, Arkansas","Little River County, Arkansas","Logan County, Arkansas","Lonoke County, Arkansas","Madison County, Arkansas","Marion County, Arkansas","Miller County, Arkansas","Mississippi County, Arkansas","Monroe County, Arkansas","Montgomery County, Arkansas","Nevada County, Arkansas","Newton County, Arkansas","Ouachita County, Arkansas","Perry County, Arkansas","Phillips County, Arkansas","Pike County, Arkansas","Poinsett County, Arkansas","Polk County, Arkansas","Pope County, Arkansas","Prairie County, Arkansas","Pulaski County, Arkansas","Randolph County, Arkansas","Saline County, Arkansas","Scott County, Arkansas","Searcy County, Arkansas","Sebastian County, Arkansas","Sevier County, Arkansas","Sharp County, Arkansas","St. Francis County, Arkansas","Stone County, Arkansas","Union County, Arkansas","Van Buren County, Arkansas","Washington County, Arkansas","White County, Arkansas","Woodruff County, Arkansas","Yell County, Arkansas"
"Other Hispanic or Latino (200-209, 221-259, 275-299)",,,,"3,896",,,,645.0,,,,,,,,274.0,825.0,,,,,,412.0,,,655.0,,,,,,,,,,,,,,,,,366.0,,,,335.0,,,,,,,,139.0,,,327.0,,"3,087",,,,,"1,783",,,,,,,"2,876",436.0,,807.0
Polish (142-143),,,"1,380","1,549",,,,346.0,,,,,,,,532.0,372.0,,,,,,567.0,,,926.0,,,,,,,,,,,,,,,,,394.0,,290.0,,,,,,,,,,,,,441.0,,"4,227",,624.0,,,779.0,,,,,,,"1,449",384.0,,
Puerto Rican (260-269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,,,,,,,,,,,,,,,
Russian (148-151),,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866.0,,,,,,,,,,,,431.0,,,
Salvadoran (226),,,,"1,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.0,,,,,,,702.0,,,348.0
Scotch-Irish (087),311.0,416.0,976.0,"3,289",727.0,,,524.0,,524.0,,398.0,,443.0,,"1,353",644.0,617.0,,,,375.0,"1,615",253.0,,"2,289",250.0,472.0,245.0,358.0,,499.0,264.0,234.0,989.0,330.0,,173.0,,,,279.0,"1,016",258.0,416.0,458.0,383.0,,176.0,,177.0,461.0,161.0,263.0,142.0,189.0,360.0,"1,044",,"8,425",,"1,655",,188.0,"2,201",,368.0,,232.0,887.0,359.0,"3,355","1,095",,289.0
Scottish (088),,,840.0,"2,681",376.0,,,334.0,,315.0,,461.0,,,,940.0,562.0,392.0,,,,,"1,471",229.0,,"1,733",,,,329.0,,582.0,251.0,,555.0,241.0,,240.0,,,,321.0,858.0,192.0,313.0,504.0,372.0,,,,,,,,,,261.0,825.0,,"6,495",,"1,274",,117.0,"1,541",,279.0,,,421.0,276.0,"3,310","1,034",,
        Some Other Race alone,,460.0,,"5,795",,905.0,,"1,003",,344.0,,,,,,610.0,825.0,500.0,,,271.0,,620.0,,,569.0,,,"1,146",,278.0,,,,335.0,466.0,,,,,,,,263.0,,,506.0,,,,,,,,215.0,,349.0,619.0,,"3,945",,495.0,,,"4,472","1,714",,,,223.0,,"7,013",543.0,,"2,084"
Some other race alone or in combination with one or more other races,,595.0,,"6,487",,933.0,,"1,143",,390.0,,,,,250.0,806.0,"1,027",657.0,,,311.0,,767.0,,,863.0,94.0,,"1,224",,441.0,,,,458.0,611.0,,,,,,,306.0,292.0,,454.0,698.0,,,,,,,,227.0,260.0,430.0,819.0,,"5,270",,687.0,,,"5,114","1,783",,,,284.0,,"7,888",684.0,,"2,203"
"Some other race alone or in combination with one or more other races, not Hispanic or Latino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,153",,,,,366.0,,,,,,,430.0,,,
