"Label (Grouping)","Arkansas County, Arkansas!!Estimate","Ashley County, Arkansas!!Estimate","Baxter County, Arkansas!!Estimate","Benton County, Arkansas!!Estimate","Boone County, Arkansas!!Estimate","Bradley County, Arkansas!!Estimate","Calhoun County, Arkansas!!Estimate","Carroll County, Arkansas!!Estimate","Chicot County, Arkansas!!Estimate","Clark County, Arkansas!!Estimate","Clay County, Arkansas!!Estimate","Cleburne County, Arkansas!!Estimate","Cleveland County, Arkansas!!Estimate","Columbia County, Arkansas!!Estimate","Conway County, Arkansas!!Estimate","Craighead County, Arkansas!!Estimate","Crawford County, Arkansas!!Estimate","Crittenden County, Arkansas!!Estimate","Cross County, Arkansas!!Estimate","Dallas County, Arkansas!!Estimate","Desha County, Arkansas!!Estimate","Drew County, Arkansas!!Estimate","Faulkner County, Arkansas!!Estimate","Franklin County, Arkansas!!Estimate","Fulton County, Arkansas!!Estimate","Garland County, Arkansas!!Estimate","Grant County, Arkansas!!Estimate","Greene County, Arkansas!!Estimate","Hempstead County, Arkansas!!Estimate","Hot Spring County, Arkansas!!Estimate","Howard County, Arkansas!!Estimate","Independence County, Arkansas!!Estimate","Izard County, Arkansas!!Estimate","Jackson County, Arkansas!!Estimate","Jefferson County, Arkansas!!Estimate","Johnson County, Arkansas!!Estimate","Lafayette County, Arkansas!!Estimate","Lawrence County, Arkansas!!Estimate","Lee County, Arkansas!!Estimate","Lincoln County, Arkansas!!Estimate","Little River County, Arkansas!!Estimate","Logan County, Arkansas!!Estimate","Lonoke County, Arkansas!!Estimate","Madison County, Arkansas!!Estimate","Marion County, Arkansas!!Estimate","Miller County, Arkansas!!Estimate","Mississippi County, Arkansas!!Estimate","Monroe County, Arkansas!!Estimate","Montgomery County, Arkansas!!Estimate","Nevada County, Arkansas!!Estimate","Newton County, Arkansas!!Estimate","Ouachita County, Arkansas!!Estimate","Perry County, Arkansas!!Estimate","Phillips County, Arkansas!!Estimate","Pike County, Arkansas!!Estimate","Poinsett County, Arkansas!!Estimate","Polk County, Arkansas!!Estimate","Pope County, Arkansas!!Estimate","Prairie County, Arkansas!!Estimate","Pulaski County, Arkansas!!Estimate","Randolph County, Arkansas!!Estimate","St. Francis County, Arkansas!!Estimate","Saline County, Arkansas!!Estimate","Scott County, Arkansas!!Estimate","Searcy County, Arkansas!!Estimate","Sebastian County, Arkansas!!Estimate","Sevier County, Arkansas!!Estimate","Sharp County, Arkansas!!Estimate","Stone County, Arkansas!!Estimate","Union County, Arkansas!!Estimate","Van Buren County, Arkansas!!Estimate","Washington County, Arkansas!!Estimate","White County, Arkansas!!Estimate","Woodruff County, Arkansas!!Estimate","Yell County, Arkansas!!Estimate"
"        3 or more vehicles available","117","140","573","4,138","716","154","25","354","37","425","119","362","88","196","344","1,416","780","542","252","89","58","278","1,694","226","105","1,696","612","624","478","518","115","543","224","90","485","531","119","233","127","40","114","282","1,077","168","255","478","480","93","114","180","75","241","76","102","293","374","450","657","127","4,549","228","357","2,424","115","122","1,825","568","291","114","450","290","3,602","1,509","78","519"
"    Public transportation (excluding taxicab):","0","0","0","162","14","0","5","11","6","47","2","0","0","0","0","73","0","27","0","0","0","0","65","77","48","76","0","23","29","29","13","33","0","0","116","80","10","1","0","11","0","52","65","0","6","80","35","0","0","51","0","0","3","0","4","0","26","129","0","1,236","2","0","51","8","16","97","7","0","0","49","0","727","62","0","7"
"        No vehicle available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","4","0","12","0","0","656","0","0","0","0","6","42","0","0","0","20","0","133","18","0","7"
"        1 vehicle available","0","0","0","19","4","0","5","5","6","44","0","0","0","0","0","52","0","11","0","0","0","0","6","0","0","9","0","0","5","0","13","0","0","0","10","4","0","1","0","0","0","0","0","0","0","19","18","0","0","0","0","0","1","0","0","0","0","28","0","249","0","0","51","0","0","13","0","0","0","25","0","342","0","0","0"
"        2 vehicles available","0","0","0","49","10","0","0","6","0","3","0","0","0","0","0","21","0","16","0","0","0","0","59","43","3","0","0","11","14","0","0","33","0","0","98","4","10","0","0","0","0","28","20","0","0","26","9","0","0","51","0","0","0","0","0","0","3","45","0","225","0","0","0","0","10","38","0","0","0","0","0","148","10","0","0"
"        3 or more vehicles available","0","0","0","94","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","34","45","31","0","12","10","29","0","0","0","0","3","72","0","0","0","11","0","24","45","0","6","0","8","0","0","0","0","0","2","0","0","0","11","56","0","106","2","0","0","8","0","4","7","0","0","4","0","104","34","0","0"
"    Walked:","160","151","439","1,423","209","135","24","417","159","146","203","116","76","99","72","625","381","233","87","55","83","255","649","42","141","694","65","340","99","356","141","101","114","75","283","236","59","78","16","3","28","178","351","61","100","142","86","74","25","23","37","106","32","77","76","176","73","89","79","2,271","119","177","334","49","42","859","79","169","197","293","175","1,455","308","84","132"
"        No vehicle available","47","20","55","205","69","0","0","66","50","0","24","0","14","0","5","132","49","43","30","12","41","0","89","8","2","146","0","9","11","58","0","0","0","0","55","76","13","0","0","2","4","18","115","5","37","40","5","14","0","0","0","56","0","11","11","47","22","0","0","444","36","2","37","22","0","436","46","55","38","57","151","261","20","32","0"
"        1 vehicle available","17","105","125","706","56","29","4","145","59","64","96","0","0","52","36","236","84","90","11","0","0","71","130","7","0","207","25","237","22","72","6","64","8","48","30","53","20","34","6","0","6","25","102","45","20","31","40","21","16","0","22","24","0","6","3","31","34","26","37","1,059","53","85","106","24","15","230","0","2","0","54","6","490","135","17","4"
"        2 vehicles available","96","6","149","312","68","98","0","53","10","39","70","72","32","47","27","215","193","92","33","37","37","155","344","19","43","135","21","61","0","151","26","17","21","7","192","48","11","32","10","1","0","84","34","11","14","58","12","27","0","17","10","24","27","56","20","28","0","63","10","477","22","31","70","3","8","94","12","91","30","124","2","304","113","21","39"
"        3 or more vehicles available","0","20","110","200","16","8","20","153","40","43","13","44","30","0","4","42","55","8","13","6","5","29","86","8","96","206","19","33","66","75","109","20","85","20","6","59","15","12","0","0","18","51","100","0","29","13","29","12","9","6","5","2","5","4","42","70","17","0","32","291","8","59","121","0","19","99","21","21","129","58","16","400","40","14","89"
