COUNTY,FIPS,DMG,DMGCP,INJ,DTH,DMG2000,DMGCP2000,INJ2000,DTH2000,DMG2010,DMGCP2010,INJ2010,DTH2010,DMG2020,DMGCP2020,INJ2020,DTH2020,POP2000,PNW2000,POP2010,PNW2010,POP2020,PNW2020,MINC2000,MICPI2000,MINC2010,MICPI2010,MINC2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,TMP2010,TMP2020,PCP2000,PCP2010,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020
INDEPENDENCE,16,51940000.0,75892320.0,0,0,220000.0,386216.0,0.0,0.0,51720000.0,75506104.0,0.0,0.0,0.0,0.0,0.0,0.0,34233.0,3.6,36647.0,8.07,37938.0,15.37,31920.0,58081.0,34625.0,49845.0,48972.0,59922.0,40.21,47.2,5.74,1.24,139.103,289.006,289.115,289.645,0.094,0.095,0.111,11.281979376624895,2205.6525574737825,0.0
IZARD,15,51620000.0,75429276.0,1,1,130000.0,228219.0,0.0,0.0,51490000.0,75201058.0,1.0,1.0,0.0,0.0,0.0,0.0,13249.0,1.37,13696.0,4.22,13577.0,9.36,25670.0,46708.0,31673.0,45595.0,42818.0,52392.0,25.59,62.58,5.47,0.69,203.368,288.463,288.566,289.145,0.089,0.091,0.104,17.22537550003774,5675.9799230130575,0.0
JACKSON,25,37525000.0,54796597.0,0,0,430000.0,754877.0,0.0,0.0,37095000.0,54041720.0,0.0,0.0,0.0,0.0,0.0,0.0,18418.0,17.81,17997.0,20.19,16755.0,23.07,25081.0,45637.0,27615.0,39753.0,37885.0,46356.0,76.13,6.47,4.83,1.44,77.445,289.445,289.593,290.067,0.094,0.095,0.113,40.98582908024758,2934.1796069062875,0.0
JEFFERSON,56,545000.0,732771.0,0,0,0.0,0.0,0.0,0.0,545000.0,732771.0,0.0,0.0,0.0,0.0,0.0,0.0,84278.0,51.24,77435.0,58.02,67260.0,62.12,31327.0,57002.0,35998.0,51821.0,40402.0,49436.0,49.05,19.64,8.51,3.56,68.18,290.62,290.798,291.339,0.101,0.103,0.12,0.0,8.694689005434396,0.0
JOHNSON,21,26525000.0,38639968.0,0,0,0.0,0.0,0.0,0.0,26525000.0,38639968.0,0.0,0.0,0.0,0.0,0.0,0.0,22781.0,4.35,25540.0,12.76,25749.0,21.99,27910.0,50784.0,30592.0,44039.0,39346.0,48143.0,20.53,66.4,5.57,2.77,313.736,288.045,288.222,288.821,0.104,0.103,0.117,0.0,1696.1488960098327,0.0
LAFAYETTE,71,40050000.0,72878745.0,0,0,40050000.0,72878745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8559.0,36.72,7645.0,39.28,6308.0,38.08,24831.0,45182.0,27515.0,39609.0,33763.0,41312.0,24.85,48.56,3.94,3.38,77.368,291.419,291.637,292.181,0.107,0.1,0.118,8514.86680686996,0.0,0.0
LAWRENCE,17,1427020.0,2446567.0,0,1,1204020.0,2120052.0,0.0,1.0,223000.0,326515.0,0.0,0.0,0.0,0.0,0.0,0.0,17774.0,0.0,17415.0,2.66,16216.0,7.23,27139.0,49381.0,30288.0,43601.0,40587.0,49662.0,64.06,22.48,5.04,1.08,94.966,288.927,289.042,289.548,0.093,0.095,0.113,119.27827163272195,18.370372454146505,0.0
LEE,49,105000.0,190387.0,0,0,103000.0,187262.0,0.0,0.0,2000.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,12580.0,55.68,10424.0,57.97,8600.0,59.71,20510.0,37319.0,30494.0,43898.0,27902.0,34141.0,71.95,4.2,3.23,2.99,61.969,290.266,290.41,290.974,0.104,0.101,0.118,14.885691573926868,0.2484101748807631,0.0
LINCOLN,64,185000.0,247658.0,0,0,0.0,0.0,0.0,0.0,185000.0,247658.0,0.0,0.0,0.0,0.0,0.0,0.0,14492.0,32.57,14134.0,33.44,12941.0,35.68,29607.0,53872.0,35737.0,51445.0,46554.0,56963.0,47.5,22.92,3.82,1.8,63.331,290.824,290.971,291.567,0.107,0.105,0.122,0.0,17.089290643113443,0.0
LITTLE RIVER,59,40105000.0,72942792.0,0,0,40050000.0,72878745.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,64047.0,0.0,0.0,13628.0,24.49,13171.0,24.47,12026.0,27.54,29417.0,53526.0,33416.0,48104.0,48966.0,59914.0,30.89,32.86,4.3,5.17,98.304,290.915,291.147,291.656,0.105,0.102,0.124,5347.721235691224,0.0,5.3257109595875605
