COUNTY,Ag,AGPER,For,FORPER,Urb,URBPER,Wat,WATPER,Total
Madison,611279.6824,25.376093811757748,1614595.82722,67.0268231699489,112501.384312,4.670277394212183,1568.239216,0.06510241810793975,2408880.1331463
Crawford,461311.04701999994,26.57501807801839,1041363.2706200001,59.99042928037892,137760.77255,7.936066228215231,38060.44706,2.1925706640038705,1735882.3450870002
Sebastian,412209.82355000003,26.175810982595593,721506.9725,45.816545496504816,223150.96863,14.1703502481752,33702.92157,2.140175352882038,1574773.839191
Hot Spring,234995.58436,13.124852918176982,1150692.5569,64.26789083924682,124044.894113,6.928091840184749,22504.64706,1.2569180116401402,1790462.6118479997
Garland,146404.0,6.925240922707722,1422393.3725,67.28242938324942,245567.62357,11.615905002862279,162187.3882,7.671830946625252,2114063.6352440002
Craighead,1545069.2901,75.33049887445736,125611.50196,6.124241267137123,207812.80001,10.131999902889751,19313.4,0.9416328874595531,2051054.1058210002
Poinsett,1729804.42402,78.72073415569439,82497.67451,3.754342059359671,109243.04313900002,4.971482577966193,33176.32157,1.5098032785153772,2197393.663274
Greene,1109099.7569,66.50162241247587,316170.84711,18.957604274578895,113885.25883600001,6.828560221334184,28518.28235,1.709956235129777,1667778.494216
Lincoln,782186.10589,47.50219742304234,377490.19211,22.92499636063997,62894.035287,3.8195575943342277,29704.07059,1.8039295441443166,1646631.4156460003
Jefferson,1289808.4112699998,49.04916985740264,516326.67051,19.635004968540798,223801.24314,8.510771904691682,93553.10196,3.557661702798727,2629623.3249609997
Lonoke,1494827.8468,64.69983520391457,198883.24704,8.608157344575519,163133.819606,7.060833973148144,85279.87843,3.6911234243076643,2310404.4115239996
Cleveland,64327.341176999995,3.733388396075509,865399.9804000001,50.22552130515415,70974.7372596,4.119185647210304,5634.407843,0.32700609841673633,1723028.3686696002
Pulaski,493255.67059999995,21.22219231820546,847863.0,36.47907711553157,558695.45878,24.03772157168423,124194.6471,5.343441226822175,2324244.65486
Grant,93657.99608,5.142072135420174,898408.0392,49.32498172031993,104960.67451000001,5.762619128128346,5183.419608,0.28458347015796376,1821405.7215349998
Saline,167040.7686,7.9460872152970925,1312776.3216,62.448438384463365,257864.16074,12.266533063231059,25001.93333,1.189335660128322,2102176.380325
Perry,229038.53724,14.199088595531222,1090997.651,67.63565856968819,76534.4196086,4.744699375596106,29891.78431,1.8531208713206686,1613050.9764695999
Faulkner,777526.59609,40.6862473012936,736449.2864,38.53676252620854,212771.47451,11.133860724646775,47256.04314,2.47280423247681,1911030.5021060002
White,1411112.0548999999,47.05194964402366,870789.2196,29.03549039135762,215740.43925000002,7.193623106344953,44426.67843,1.4813577908862297,2999051.188263
St. Francis,1302299.92902,70.42958296598148,148694.22353,8.041520942528978,92271.66274,4.990136743112799,29019.9098,1.5694235247808348,1849080.8466791997
Crittenden,1403686.894,76.64973299856564,1975.0,0.10784685909603366,128389.57647000001,7.010841804030142,73627.96863,4.020529194109771,1831300.4352230001
