OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,POP1900,POP1910,POP1920,POP1930,POP1940,POP1950,POP1960,POP1970,POP1980,POP1990,POP2000,POP2010,POP2020,EFF_DATE,REV_DATE,REV_TYPE,SQ_MILES,Shape_STAr,Shape_STLe,countynm,fipscode,proptot,prptotcpi,croptot,counts,injuries,deaths,dmgpercnt,income,pop,white,pernonwht
54,Cleveland,05025,025,11620.000000000000000,13481.000000000000000,12260.000000000000000,12744.000000000000000,12570.000000000000000,8956.000000000000000,6944.000000000000000,6605.000000000000000,7868.000000000000000,7781.000000000000000,8571.000000000000000,8689.000000000000000,7550.000000000000000, , , ,598.506596970000032,1550124969.917190074920654,191779.872614332998637,Cleveland,25,250000,336214.190799999982119,0,47,0,0,7153.493421999999555,46349,7550,6466,14.357615890000000
55,Arkansas,05001,001,12973.000000000000000,16103.000000000000000,21483.000000000000000,22300.000000000000000,24437.000000000000000,23665.000000000000000,23355.000000000000000,23347.000000000000000,24175.000000000000000,21653.000000000000000,20749.000000000000000,19019.000000000000000,17149.000000000000000, , , ,1038.533147509999935,2689788503.904109954833984,338109.143083486007527,Arkansas,1,355000,473210.017200000002049,0,55,0,0,8603.818494999999530,51000,17149,11698,31.786109979999999
56,Grant,05053,053,7671.000000000000000,9425.000000000000000,10710.000000000000000,9834.000000000000000,10477.000000000000000,9024.000000000000000,8294.000000000000000,9711.000000000000000,13008.000000000000000,13948.000000000000000,16464.000000000000000,17853.000000000000000,17958.000000000000000, , , ,632.552079869999943,1638302365.831860065460205,192002.411461740994127,Grant,53,760000,1028332.427000000025146,0,53,4,1,19402.498619999998482,59051,17958,16304,9.210379775000000
57,Monroe,05095,095,16816.000000000000000,19907.000000000000000,21601.000000000000000,20651.000000000000000,21133.000000000000000,19540.000000000000000,17327.000000000000000,15657.000000000000000,14052.000000000000000,11333.000000000000000,10254.000000000000000,8149.000000000000000,6799.000000000000000, , , ,621.138517630000024,1608741375.311909914016724,246986.733471582992934,Monroe,95,600000,798657.246399999945424,0,50,0,0,15973.144930000000386,38438,6799,3568,47.521694369999999
58,Lee,05077,077,19409.000000000000000,24252.000000000000000,28852.000000000000000,26637.000000000000000,26810.000000000000000,24322.000000000000000,21001.000000000000000,18884.000000000000000,15539.000000000000000,13053.000000000000000,12580.000000000000000,10424.000000000000000,8600.000000000000000, , , ,622.297229489999950,1611742425.257440090179443,251954.167705008992925,Lee,77,105000,190386.672499999986030,0,44,0,0,4326.969830000000002,27902,8600,3465,59.709302330000000
59,Hot Spring,05059,059,12748.000000000000000,15022.000000000000000,17784.000000000000000,18105.000000000000000,18916.000000000000000,22181.000000000000000,21893.000000000000000,21963.000000000000000,26819.000000000000000,26115.000000000000000,30353.000000000000000,32923.000000000000000,33040.000000000000000, , , ,621.744997089999970,1610312149.903959989547729,219844.390640664991224,Hot Spring,59,5275000,7180736.895999999716878,0,53,0,0,135485.601800000004005,46390,33040,26525,19.718523000000001
60,Pope,05115,115,21715.000000000000000,24527.000000000000000,27153.000000000000000,26547.000000000000000,25682.000000000000000,23291.000000000000000,21177.000000000000000,28607.000000000000000,39021.000000000000000,45883.000000000000000,54469.000000000000000,61754.000000000000000,63381.000000000000000, , , ,829.893840709999949,2149415180.010049819946289,215213.359331056009978,Pope,115,27875000,40481208.729999996721745,0,70,0,1,578302.981799999950454,46004,63381,51409,18.888941480000000
61,Johnson,05071,071,17448.000000000000000,19698.000000000000000,21062.000000000000000,19289.000000000000000,18795.000000000000000,16138.000000000000000,12421.000000000000000,13630.000000000000000,17423.000000000000000,18221.000000000000000,22781.000000000000000,25540.000000000000000,25749.000000000000000, , , ,683.486979300000030,1770223149.736929893493652,208491.487046019989066,Johnson,71,26525000,38639968.350000001490116,0,68,0,0,568234.828600000008009,39346,25749,20088,21.985319820000001
62,Cleburne,05023,023,9628.000000000000000,11903.000000000000000,12696.000000000000000,11373.000000000000000,13134.000000000000000,11487.000000000000000,9059.000000000000000,10349.000000000000000,16909.000000000000000,19411.000000000000000,24046.000000000000000,25970.000000000000000,24711.000000000000000, , , ,591.779935779999960,1532702997.403620004653931,160144.044916032988112,Cleburne,23,27335000,40122124.030000001192093,0,67,2,1,598837.672099999967031,45563,24711,22953,7.114240622000000
63,Poinsett,05111,111,7025.000000000000000,12791.000000000000000,20848.000000000000000,29695.000000000000000,37670.000000000000000,39311.000000000000000,30834.000000000000000,26822.000000000000000,27032.000000000000000,24664.000000000000000,25614.000000000000000,24583.000000000000000,22965.000000000000000, , , ,763.958421550000025,1978643228.337470054626465,195978.920962117990712,Poinsett,111,868000,1481843.750999999931082,0,54,1,4,27441.550950000000739,40700,22965,19391,15.562812980000000
