,DMG,DMGCPI,DMG2000,DMGCP2000,IS2000,HOURS00,DMG2010,DMGCP2010,IS2010,HOURS10,DMG2020,DMGCP2020,IS2020,HOURS20,POP2000,PNW2000,MICPI2000,MGRCP2000,POP2010,PNW2010,MICPI2010,MGRCP2010,POP2020,PNW2020,MICPI2020,MGRCP2020,AG01,FOR01,URB01,WAT01,AG11,FOR11,URB11,WAT11,AG21,FOR21,URB21,WAT21,ELEV,TMP2000,PCP2000,SNW2000,TMP2010,PCP2010,SNW2010,TMP2020,PCP2020,SNW2020,DMGPOP2000,DMGPOP2010,DMGPOP2020,FIPS,County_low
CLAY,-0.5036319412234685,-0.4598509901787879,-0.17210597032625646,-0.17559493191878553,-1.0013802629067672,-1.0516209300226511,-0.578740771326148,-0.5779769978159426,-0.5127383323892977,-0.12157286873101757,-0.19611613513818407,-0.19611613513818402,-0.9173169233042094,-0.8832986629369666,-0.37078970416472845,-1.0431557498878619,-0.8501665299818933,-1.2874418948751045,-0.40507386156992403,-1.0909145965495648,-1.0197171495632387,-1.1893316278231483,-0.4041103542615091,-1.2516556164095627,-0.7813379058019388,-0.24857709640319053,1.6373327637444888,-0.7278798815821816,-0.3948276221921393,-0.7364692022003659,1.6298928460333875,-0.6987012774555931,-0.42671140602979274,-0.7064494496484256,1.6415237706188566,-0.6037565870674806,-0.4538148513273018,-0.7521278759768636,-0.580425234511636,-0.8692728523226373,-0.7391081873086721,0.6990337224265285,-0.867928995377333,-0.5773349937449884,1.0132080216946036,-0.8846920586161814,-0.3839981735055674,1.0829702341442697,-0.17272322918095162,-0.44131808989322036,-0.14802211380700797,9.0,Clay
CLEBURNE,0.2541958855006567,0.16303200573933418,-0.27565754936085074,-0.2754994180242638,0.5158625596792439,-0.024465577332680073,0.8406227681150592,0.8401820217191788,1.23523325530149,1.2087296183690377,-0.19611613513818407,-0.19611613513818402,-0.9173169233042094,-0.8832986629369666,-0.2384582994607962,-1.0431557498878619,0.5663655046852449,0.49766661482567154,-0.22938594847638158,-1.0478099119092041,0.13275650905924619,0.9013957536140331,-0.24375519924511418,-1.1624575306683365,0.26615585449484047,0.6830324855956803,-0.5764383614294077,0.5700767206966237,-0.11262802671304661,1.9964178334799865,-0.5874063157436872,0.5724124665569555,-0.03990277615001855,2.078115417861758,-0.5566499227436955,0.5107486183934933,0.08635759255385485,2.234930713439306,0.5518418095235046,-0.7926673389688186,-0.6688931580457176,0.43610817691420645,-0.81995517415106,-0.16665554199624563,0.614566996092508,-0.8419576408622866,-0.42320605442234344,0.5200449313049803,-0.25984119503824876,0.3676257581957524,-0.14802211380700797,24.0,Cleburne
CLEVELAND,-0.621131102747334,-0.5750035623500718,-0.27565754936085074,-0.2754994180242638,0.5158625596792439,0.11049399327965916,-0.6178856289001138,-0.6175449619773518,-0.5127383323892977,-0.9125635367364558,-0.19611613513818407,-0.19611613513818402,1.7631546058314675,2.1063617335480784,-0.556592288554062,-0.26547883250118587,0.766502749803104,-0.38587194048077256,-0.5364621926525227,-0.40797949758408353,0.3402603650457069,0.46976171357538965,-0.5146337124094368,-0.7236547210560309,0.37406281328819185,-0.3262112282364303,-1.2709182181362886,-0.838439806809578,-0.6159258538439071,-0.945701258924379,-1.2634208689511444,-0.8222913018937386,-0.613076620660653,-0.9629250046387033,-1.2526345649599604,-0.878198957921226,-0.6346861923002287,-0.9965995222729673,-0.8108585914368152,1.0845787614326097,1.2696887991560288,-0.8698051829686558,1.0682979531326773,1.4539065707877712,-1.0706365398055608,1.106021240486118,1.425116046677333,-0.6371861493451285,-0.25984119503824876,-0.47532576436062784,-0.14802211380700797,63.0,Cleveland
COLUMBIA,0.7701689511378917,0.8849293639217762,1.2597888557985346,1.2599622001773134,0.5158625596792439,1.8486801872006489,-0.6222350575194434,-0.6214730787657584,-1.3867241262346914,-1.2721047494662006,-0.19611613513818407,-0.19611613513818402,-0.9173169233042094,-0.8832986629369666,-0.20644960020275324,1.1193257032351025,-0.32463451906028296,-0.18752655051401979,-0.25458322376379366,1.0986773995039119,0.028487544880002266,-0.3260635477458602,-0.2739036731186563,0.91201534136004,-0.8258186369075956,0.37249595826272336,-1.30657854162468,-0.7137501531009569,-0.36085563968079537,-0.7519752017427964,-1.2860114393281759,-0.7466070205783069,-0.35283664626164024,-0.8233279439306466,-1.2669090262397664,-0.8236828385835315,-0.36954695742293175,-0.8093963310670745,-0.6342759981218773,1.543819145531084,1.2020501421011824,-1.013801070158806,1.5326278542390877,0.7406800366767894,-1.2803329508541448,1.5395823759600693,0.8991094192758189,-1.0609877068168254,0.6610441005283058,-0.4821514568683631,-0.14802211380700797,72.0,Columbia
CONWAY,-0.2678679245876081,-0.2774023852336058,-0.27565754936085074,-0.2754994180242638,0.5158625596792439,0.1304387574095615,-0.029262955750849157,-0.02973959727713761,1.23523325530149,1.2087296183690377,-0.19611613513818407,-0.19611613513818402,-0.9173169233042094,-0.8832986629369666,-0.31472822511740467,-0.18036599530296812,0.49263073016813896,0.40750961938623853,-0.31284970166747783,-0.31844913931692964,-0.3934139829064256,-0.5823462590188052,-0.3068302262601269,-0.3218886402910875,0.11418002321718212,-0.3705735892839948,0.16538838213522042,-0.06436167547262898,-0.17899280856835462,-0.0381274843524672,0.14120227195186888,-0.0882212063539892,-0.009962616567449675,0.025348257074196502,0.09528743877444397,-0.03402566362925189,0.0341795533840372,0.07017430618632256,-0.08192256206321173,-0.38889007699584127,0.2255435543258081,-0.12821497613788313,-0.3979242220830484,0.6854284652654603,0.2698796604683674,-0.3751778747214676,0.0582449236579225,-0.21742332148436,-0.25984119503824876,-0.06217056776054196,-0.14802211380700797,31.0,Conway
CRAIGHEAD,-0.4879700269208206,-0.44722325585433753,-0.1759397940594884,-0.1792936040497222,-1.0013802629067672,-1.0516209300226511,-0.5468449614510646,-0.5460798717860776,-0.5127383323892977,-0.12157286873101757,-0.19611613513818407,-0.19611613513818402,-0.023826413592317082,-0.2317988186666179,0.9559986332886014,-0.4342472622969499,0.7710825494625523,1.1287655829017047,1.022890201967759,-0.14325680475515185,0.7325184848340698,0.7934872436043728,1.1219233136024584,0.07269859909387986,0.8382274795481409,1.470464394189965,1.7783072443744,-0.9425479464024321,1.199045509545014,-0.7402699768325274,1.7673018992994318,-0.9249927090828555,1.2053379670714885,-0.717870774095124,1.7404748118827218,-0.7868642880863134,1.2235926619495099,-0.6787888874855691,-0.7051379635183156,-0.3630264940580716,-0.7146068800572134,0.04124548524852866,-0.37618428987686403,-0.47890931412817006,0.6571339486883555,-0.4323199649365,-0.44761980761085973,0.4323148292943705,-0.24185821121415393,-0.470348423596488,-0.14802211380700797,26.0,Craighead
CRAWFORD,-0.5911994443022734,-0.5509039822666866,-0.27565754936085074,-0.2754994180242638,-0.24275885161376168,-0.5829189729699459,-0.5709117998113548,-0.5723687869031225,1.23523325530149,2.0356744076474507,5.687367919007338,5.687367919007337,0.8696640961195752,1.1797841772524709,0.36185385663047703,-0.5728962945942611,0.8732120818682326,0.2452270275952594,0.4099282759880131,-0.6018554258431623,0.8986594459395094,0.6990672973459188,0.3153648225080841,-0.43257401749971636,0.7352628242109736,0.5832171732386577,-0.2714567738263744,1.2695287627602387,0.5006736523797293,-0.12635422899648485,-0.2645595040815666,1.3303739970500452,0.4145514477184224,-0.0516819939458795,-0.2977427330084757,1.3496128251547885,0.5449325639300826,-0.03195517320222136,1.0787792151408675,-0.9451077708281845,0.7740281327360886,0.6862375723668324,-0.914966902007055,-0.2422604075552977,0.8645039291341914,-0.9231361987958593,0.5398253760002051,0.1908731341302252,-0.25984119503824876,-0.470183382250987,2.244859097094125,19.0,Crawford
CRITTENDEN,-0.6237066175437694,-0.5769539300304858,-0.2756192111235184,-0.2754590794540756,-1.7600016741997728,-1.21117904306187,-0.6222350575194434,-0.6214730787657584,0.3612474614560961,0.5615554354554974,-0.19611613513818407,-0.19611613513818402,0.8696640961195752,1.027767546922723,0.3129054218627183,1.8134180999334075,0.2407417488985212,1.705770353714076,0.213645410808356,1.9009783824596602,-0.2183110612434311,1.3869840486575082,0.12642386320635685,2.039997027020525,-0.1702769979276316,0.9602972421429631,1.8124860766149473,-1.0302519541209336,0.23429598922045217,0.8779109554660296,1.791154674798373,-1.0068909145353098,0.38545157831344606,0.9664879123259519,1.7956252502684111,-0.9931283497272178,0.2589890921690891,0.9132438827916624,-0.826291980393567,0.13131786508493742,0.4289081840948981,-0.6054873528451739,0.15160794769687996,-0.1287821666558943,-0.29692195318145376,0.09707417011614301,-0.05824047504246318,-0.3981049661155773,-0.25982901775681805,-0.4821514568683631,-0.14802211380700797,36.0,Crittenden
CROSS,-0.6228713154476282,-0.5762492350049291,-0.2756192111235184,-0.2754590794540756,-1.7600016741997728,-1.21117904306187,-0.6208432403612579,-0.6200812041753644,0.3612474614560961,0.5615554354554974,-0.19611613513818407,-0.19611613513818402,-0.023826413592317082,0.37626770265237425,-0.33138014958690676,0.3413987002924741,0.06968623161815458,0.5156980139135583,-0.3733196084397369,0.18789004093072006,0.35129047034731353,0.11905905604399172,-0.3681058155675041,0.06924335970639962,0.10360898526923289,0.8826631103097233,1.7826674371058329,-0.9572246361471406,-0.5875337933751406,-0.5112873896568231,1.787245341035952,-0.9400772374121282,-0.565536888662779,-0.4972306222440709,1.795934705563984,-0.6813476290021173,-0.5949864931883292,-0.48959980646214263,-0.7578659456307812,0.0974925907417477,-0.03968747145935898,-0.46615593943351397,0.10279540738483245,-0.1932585929447512,0.03349775881694854,0.034141221389030425,0.0542466859880439,-0.3068517292189124,-0.2598094727399155,-0.480975455899479,-0.14802211380700797,35.0,Cross
DALLAS,-0.621131102747334,-0.5750035623500718,-0.27565754936085074,-0.2754994180242638,0.5158625596792439,0.2102178139291709,-0.6178856289001138,-0.6175449619773518,-0.5127383323892977,-0.8766094154634814,-0.19611613513818407,-0.19611613513818402,0.8696640961195752,1.57068408381468,-0.5434557703614548,1.415952510906019,-0.5609521814877788,-0.2055579496019066,-0.5466441663758563,1.3723795285827698,-0.9273400176622888,-1.5265457216033387,-0.5314916025125483,1.2056484374058163,-1.1656019995202471,0.46122068035785346,-1.3565383932188528,-0.8067605263090601,-0.2417171266864439,-1.0082825738997199,-1.3444225231297426,-0.7967919867207837,-0.2939072401903806,-1.043806384974585,-1.3276128673140126,-0.8516734066540723,-0.401849725637425,-1.0817356810427454,-0.6467433653279101,0.9855007226194344,0.9559598068942962,-0.7410696095110113,0.9815556390823211,1.5491993174989336,-1.0275276302608096,0.9934840405663464,1.2555583705198294,-0.7317154266561676,-0.25984119503824876,-0.4748438617230068,-0.14802211380700797,62.0,Dallas
