COUNTY,FIPS,DMG,DMGCPI,County_low,DMG2000,DMGCP2000,COUNT2000,DMG2010,DMGCP2010,COUNT2010,DMG2020,DMGCP2020,COUNT2020,POP2000,PNW2000,MICPI2000,POP2010,PNW2010,MICPI2010,POP2020,PNW2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,PCP2000,TMP2010,PCP2010,TMP2020,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020,DPC2000,DPC2010,DPC2020
CLAY,9,3451000.0,5839652.253361173,Clay,2701000.0,4741840.181865588,2.0,750000.0,1097812.0714955856,1.0,0.0,0.0,0.0,17609.0,0.0,46117.0,16083.0,2.49,41842.0,14552.0,5.64,46415.0,72.96352602414782,10.313954772140416,4.704429231680667,0.7997996634267254,93.36716767069248,288.6394073053776,0.0949216612246839,288.7984380415612,0.0959380205125215,289.3311760493526,0.112716835519791,269.2850350312674,62.34380552533282,0.0,134.6425175156337,62.34380552533282,
CLEBURNE,24,25225000.0,36891199.81928514,Cleburne,0.0,0.0,4.0,25225000.0,36891199.81928514,3.0,0.0,0.0,0.0,24046.0,0.0,57373.0,25970.0,3.23,51468.0,24711.0,7.11,55751.0,20.38179079467055,60.09868206644096,6.452259791881759,6.576592597519819,225.12571826126336,288.7290891657541,0.0953874690356258,288.85458552080377,0.0983760880335622,289.3817490539875,0.112440689906229,0.0,1534.1927896234358,0.0,0.0,511.3975965411453,
CLEVELAND,63,75000.0,99143.04770429332,Cleveland,0.0,0.0,4.0,75000.0,99143.04770429332,1.0,0.0,0.0,3.0,8571.0,13.14,58963.0,8689.0,14.24,53202.0,7550.0,14.36,56712.0,3.733388396075509,50.22552130515415,4.119185647210304,0.3270060984167363,66.55232281926976,290.92677592872866,0.1082480578197428,291.06455442798745,0.1079968271189574,291.6870371606942,0.1254586349910903,0.0,11.56726726219733,0.0,0.0,11.56726726219733,0.0
COLUMBIA,72,40050000.0,72878745.31693673,Columbia,40050000.0,72878745.31693673,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25603.0,36.53,50293.0,24552.0,40.14,50598.0,22801.0,41.36,46018.0,3.39193405746864,65.8375251466501,4.977094009877947,0.6890458909379097,87.10071436459356,291.4644073628495,0.1077993417099798,291.60799568027176,0.1037626380438627,292.20012451431404,0.121753909832141,2846.4924156128864,0.0,0.0,711.6231039032216,,
CONWAY,31,10225000.0,14934958.38937343,Conway,0.0,0.0,4.0,10225000.0,14934958.38937343,3.0,0.0,0.0,0.0,20336.0,14.58,56787.0,21273.0,15.78,47073.0,20715.0,20.99,54396.0,35.976553768039004,44.35564207266554,6.283427833049901,2.3900829779612205,151.37644201400897,289.201790077818,0.1013211788323639,289.34852103636734,0.1034346278130834,289.93414818605146,0.1158316045038377,0.0,734.4098342532174,0.0,0.0,244.80327808440578,
CRAIGHEAD,26,3901000.0,6469161.640509484,Craighead,2601000.0,4566287.383250469,2.0,1300000.0,1902874.257259015,1.0,0.0,0.0,1.0,82148.0,10.29,59000.0,96443.0,18.79,56478.0,111231.0,27.5,60849.0,75.33049887445736,6.124241267137123,10.131999902889753,0.9416328874595532,78.85471806732419,289.2320685020764,0.0950842033529977,289.3739649630982,0.0965223410858745,289.86652477276584,0.1122687410353399,55.58610536167003,23.16397547425397,0.0,27.793052680835014,23.16397547425397,0.0
CRAWFORD,19,935000.0,1300539.2363657004,Crawford,0.0,0.0,3.0,885000.0,1239359.574285335,3.0,50000.0,61179.6620803655,2.0,53247.0,7.94,59811.0,61948.0,10.9,57866.0,60133.0,19.16,59932.0,26.57501807801839,59.99042928037892,7.936066228215231,2.1925706640038705,286.4438579897431,288.5506275782362,0.1049598357336931,288.74338593567103,0.0979272470546253,289.2856802690968,0.1192234310035612,0.0,23.27566950786589,1.017405785182271,0.0,7.758556502621963,0.5087028925911355
CRITTENDEN,36,1000.0,1914.619257394588,Crittenden,1000.0,1914.619257394588,1.0,0.0,0.0,2.0,0.0,0.0,2.0,50866.0,48.26,54786.0,50902.0,53.94,48536.0,48163.0,59.98,51861.0,76.64973299856564,0.1078468590960336,7.010841804030142,4.020529194109771,64.756385217487,289.81079606166884,0.1026703035711857,289.99168110381964,0.0986009296854547,290.49302335290054,0.1150111844468749,0.03764045251041143,0.0,0.0,0.03764045251041143,0.0,0.0
CROSS,35,25000.0,37044.605545253326,Cross,1000.0,1914.619257394588,1.0,24000.0,35129.98628785874,2.0,0.0,0.0,1.0,19526.0,23.39,53426.0,17870.0,24.48,53294.0,16833.0,27.45,54302.0,76.65713536633417,9.553099783122716,4.247641565559949,1.3075132726478198,72.71891950699057,289.77119690753443,0.0995616312709411,289.93455200666017,0.0982181545547822,290.4185468893158,0.1158034444561968,0.09805486312581112,1.7991389064764283,0.0,0.09805486312581112,0.8995694532382141,0.0
DALLAS,62,75000.0,99143.04770429332,Dallas,0.0,0.0,4.0,75000.0,99143.04770429332,1.0,0.0,0.0,2.0,9210.0,41.54,48415.0,8116.0,44.85,42614.0,6482.0,46.2,42990.0,1.9398589520649985,63.50035874825684,4.872572267791891,0.1623578514266294,85.64992389833291,290.81078554560594,0.1061667738460915,290.9630331784163,0.1085625485100763,291.5538577556087,0.124264420781553,0.0,10.764717448891783,0.0,0.0,10.764717448891783,0.0
DESHA,65,0.0,0.0,Desha,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15341.0,47.95,43890.0,13008.0,52.11,41821.0,11395.0,57.48,38978.0,56.83078819972075,0.1485569660936921,3.080923137730957,8.030381235060089,44.47554929572258,290.99442358230704,0.1104984028654259,291.13439390878403,0.1049788671511757,291.76136394179906,0.1191091107576981,0.0,0.0,0.0,0.0,,
