BEGIN_DATE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY, DAMAGE_PROPERTY_CPI ,WFO,CZ_NAME,EVENT_TYPE,ICE,SNOW,TOTAL_INJURIES,TOTAL_DEATHS,,
1/29/2010,1/29/2010 5:00,1/30/2010 4:00,0,1,0,0,306000," $440,504.30 ","LZK, MEG, TSA","ARKANSAS, BAXTER, BOONE, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS","Ice Storm, Winter Storm, Winter Storm, Winter Storm, Winter Weather",12,60,1,0,,
2/1/1996,2/1/1996 4:00,2/2/1996 15:00,0,0,0,0,200000," $396,136.72 ","JAN, TSA","ASHLEY, CHICOT, BENTON, CARROLL, MADISON, WASHINGTON","Heavy Snow, Winter Storm",2,6,0,0,,
1/27/2000,1/27/2000 2:00,1/28/2000 6:00,0,0,1,0,200000," $363,915.07 ","JAN, LZK, MEG, TSA","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, ASHLEY, CHICOT, BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS","Heavy Snow, Winter Storm",0,66,0,1,,
1/24/2023,1/24/2023 15:35,1/25/2023 4:00,0,0,0,0,315000," $323,300.55 ","LZK, TSA","BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, INDEPENDENCE, IZARD, JOHNSON, LAWRENCE, LOGAN, MARION, MONTGOMERY, NEWTON, PERRY, POLK, POPE, RANDOLPH, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, YELL, BENTON, CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN, WASHINGTON","Winter Storm, Winter Storm, Winter Weather",0,45,0,0,,
3/7/2008,3/7/2008 7:00,3/8/2008 0:00,1,0,0,0,210000," $306,155.95 ","JAN, LZK, MEG, SHV","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, ASHLEY, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS, COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, UNION","Heavy Snow, Winter Storm, Winter Storm, Winter Weather, Winter Weather",0,73,1,0,,
1/12/2007,1/12/2007 21:00,1/15/2007 1:00,0,0,0,0,150000," $227,763.64 ",TSA,"BENTON, CARROLL, MADISON, WASHINGTON",Winter Storm,4,0,0,0,,
1/9/2011,1/9/2011 7:00,1/10/2011 3:00,0,0,0,0,150000," $208,742.88 ","JAN, LZK, MEG, SHV","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, ASHLEY, CHICOT, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS, COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION","Heavy Snow, Heavy Snow, Winter Storm, Winter Weather, Winter Storm, Winter Storm, Winter Weather",0,68,0,0,,
1/8/2014,1/8/2014 3:00,1/9/2014 12:00,0,6,0,3,150000," $197,937.78 ","LZK, SHV, TSA","BAXTER, BOONE, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION, CRAWFORD, FRANKLIN, MADISON, HOWARD, SEVIER","Ice Storm, Winter Weather",50,41,6,3,,
2/25/2003,2/25/2003 1:48,2/25/2003 13:00,0,0,0,0,107000," $183,603.67 ","JAN, LZK, MEG","ARKANSAS, BRADLEY, CALHOUN, CLARK, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, GARLAND, GRANT, HOT SPRING, JACKSON, JEFFERSON, LINCOLN, LOGAN, LONOKE, MONROE, MONTGOMERY, OUACHITA, PERRY, PIKE, POLK, PRAIRIE, PULASKI, SALINE, SCOTT, WHITE, WOODRUFF, YELL, ASHLEY, CHICOT, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LEE, MISSISSIPPI, ST. FRANCIS","Heavy Snow, Ice Storm, Winter Storm",0,38,0,0,,
2/15/2021,2/15/2021 2:45,2/15/2021 9:00,0,0,0,0,140000," $163,028.34 ",JAN,"ASHLEY, CHICOT","Heavy Snow, Winter Storm",0,2,0,0,,
