COUNTY,DMG,DMGCPI,POP2010,PNW2010,MICPI2010,MGRCP2010,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2010,PCP2010,DMGPOP2010,FIPS,County_low
GARLAND,-0.7398329108359661,-0.739832910835966,0.8144031135343194,-0.14527297616279203,0.1725744829390041,1.4260728275713297,-1.1160702255059414,0.8852186702491738,1.4176797165469337,3.160873753036867,0.22776421982325815,0.46040125064202164,0.5354233710836621,-0.562071503398504,42.0,Garland
GRANT,-0.7398329108359661,-0.739832910835966,-0.4370180187150385,-0.7455352407658414,2.6710073031290467,1.3263895205521823,-1.1917980100578938,0.1441753444920945,-0.25686398683699424,-1.011602665201628,-0.8691308010147831,1.1905288154656537,0.8266974662783255,-0.562071503398504,55.0,Grant
GREENE,-0.3829387117546303,-0.38293871175463023,-0.049013592747253934,-0.8531625884577725,0.4038637877582255,0.25479397009635296,1.4140253066757602,-1.1089839462554272,0.04808693884919629,-0.20652144002404502,-0.7693980351010934,-0.35039482292168983,-0.2190751256796657,-0.43692451543836774,18.0,Greene
HEMPSTEAD,-0.7398329108359661,-0.739832910835966,-0.36088033459972785,1.7639660600405218,-0.019912440339116252,-0.019335124206300732,-0.3146030361115631,-0.0062148687567482154,-0.3984703026682826,-0.15122380686016276,-0.6730518228065305,1.552429745469175,1.2263316872767112,-0.562071503398504,60.0,Hempstead
HOT SPRING,-0.7398329108359661,-0.739832910835966,-0.195765937214254,-0.08808051205880127,0.22442395346990654,-0.10655801784805488,-0.8527845035677809,0.7608188273426476,0.07656155109276755,-0.46240718232425304,-0.42944179155521195,0.9095704576415888,0.9700549447940943,-0.562071503398504,54.0,Hot Spring
INDEPENDENCE,1.9639110215983961,1.9639110215983964,-0.13614929809621013,-0.5361527674666031,-0.20341889976711344,0.1301898363224193,0.2974301176375045,0.05651437489098159,-0.2629364784143458,-0.47249799732255676,-0.3949626589810001,-0.31217281188517443,-0.42075782241301174,0.5268259141506881,16.0,Independence
IZARD,1.9639110215983961,1.9639110215983964,-0.5035664528755402,-0.8087512193385342,-0.7036137919475807,-0.9414057141334101,-0.32355677689012163,0.6910277588882981,-0.3395135707339513,-0.7850196436160404,0.14236302576070894,-0.8390086157352173,-1.1012786911494596,2.351540037264846,15.0,Izard
JACKSON,1.1527878418680875,1.1527878418680877,-0.4347127566223966,0.3209369849276975,-1.391212325981572,-0.8168015803594764,1.8228344638459941,-1.624359048730291,-0.5223126192248033,-0.3607200170599561,-0.9104943601434778,0.14699166741919725,-0.5103277092116552,0.9900414355717506,25.0,Jackson
JEFFERSON,-0.7398329108359661,-0.739832910835966,0.5168161896445992,2.9964786335820452,0.02922594676533403,0.9276562924755949,0.672852863317691,-1.0810299033120105,0.5293443116156035,0.8371023882365247,-0.9879587746063382,1.3037595127692834,0.8678705960272537,-0.562071503398504,56.0,Jefferson
JOHNSON,0.6120390553812151,0.6120390553812152,-0.3139586457557465,-0.20443610710510854,-0.8867813659472713,-0.11901843122544806,-0.5382483568410514,0.8489037947037216,-0.3129853236491022,0.3902257258118955,1.065163573557909,-1.1700498291985701,0.8283041819703565,0.21915057297043192,21.0,Johnson
LAWRENCE,-0.7278282877759575,-0.7278282877759574,-0.4440298575801575,-0.9192005465068318,-0.938291951049869,-1.0909306746621301,1.3105155760523193,-0.963511829361605,-0.4624191822698533,-0.5616568289545907,-0.7639939996507932,-0.3821455491608809,-0.4929450526117616,-0.5518976637743577,17.0,Lawrence
LOGAN,-0.19908412434909364,-0.19908412434909356,-0.3649785783199801,-0.6297669015928847,0.29237048184536985,-0.4803704191698559,-0.16091259991509846,0.44761101438367595,-0.5005374978737999,0.3321302851700393,0.2022897257620759,0.07951327134397468,-0.26806499383161597,-0.2050292839118557,30.0,Logan
LONOKE,-0.7398329108359661,-0.739832910835966,0.3714726164564358,-0.3826307700995242,2.5300309649535233,1.4759144810809042,1.3375068332081161,-1.5360707303415877,0.11453722965770861,0.9124844419050252,-0.9679959229952195,0.9107073639800503,0.6381774927401326,-0.562071503398504,45.0,Lonoke
MADISON,0.12536514754302983,0.12536514754302985,-0.4712127397558929,-0.6545262649733256,0.11462507469858434,-0.5925141395663954,-0.33249762018507756,0.8746706635422177,-0.5693677687500789,-1.1355702887104104,2.691749511386106,-1.7894683356249426,-1.3006846080801482,0.250395479581459,11.0,Madison
MARION,1.9639110215983961,1.9639110215983964,-0.4562285361537207,-0.8919083910282899,-0.290851340270202,-0.28100380513156126,-0.6001693244290955,0.7793572541260679,-0.416445695514099,2.9603899584132343,0.677844679871914,-1.0831171344385768,-2.071434310353676,1.834182844822552,4.0,Marion
MILLER,-0.7398329108359661,-0.739832910835966,-0.02704956780902724,0.8989884904275998,0.7593546020517965,0.9151958790982018,0.2034893611317932,-0.7016621127013816,0.265136416197664,0.10697517723228926,-0.8858720254327488,2.0566297279628944,0.03800119154649839,-0.562071503398504,70.0,Miller
MISSISSIPPI,-0.7398329108359661,-0.739832910835966,0.021264883549258592,1.6055100627225827,-0.40980012560580276,0.08034818281284561,2.1309879460402725,-1.8903747812577107,-0.031327723966103005,0.16684007430963677,-0.956977816803545,0.03472289236427047,-0.0073405421105333345,-0.562071503398504,28.0,Mississippi
MONROE,-0.7398329108359661,-0.739832910835966,-0.5923670697358489,1.9869922630000352,-0.9931913904355283,-0.8666432338690501,0.9047561223076243,-1.8349906806981509,-0.9198967188246949,0.2817534683325705,-1.0920235001378849,1.0769918769101539,0.5083710860235222,-0.562071503398504,47.0,Monroe
MONTGOMERY,-0.7398329108359661,-0.739832910835966,-0.5709473427917182,-0.7128538022604295,-0.020420768481574744,-0.28100380513156126,-0.9799442769543388,1.4007082276490672,-0.6568067550665877,0.15284345526999982,0.7803629662132199,0.16790910358345734,0.6124754783156084,-0.562071503398504,41.0,Montgomery
