COUNTY,FIPS,DMG,DMGCPI,County_low,POP2010,PNW2010,MICPI2010,MGRCP2010,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2010,PCP2010,DMGPOP2010
CRITTENDEN,36,0.0,0.0,Crittenden,50902.0,53.938941495422576,48536.08829458025,927.074411606053,76.64973299856564,0.1078468590960336,7.010841804030142,4.020529194109771,64.756385217487,289.99168110381964,0.0986009296854547,0.0
CROSS,35,24000.0,35129.98628785874,Cross,17870.0,24.482372691662004,53293.82265849019,791.7560968685235,76.65713536633417,9.553099783122716,4.247641565559949,1.3075132726478198,72.71891950699057,289.93455200666017,0.0982181545547822,1.3430330162283157
DALLAS,62,0.0,0.0,Dallas,8116.0,44.84967964514539,42613.7526900037,616.1301990176873,1.9398589520649985,63.50035874825684,4.872572267791891,0.1623578514266294,85.64992389833291,290.9630331784163,0.1085625485100763,0.0
FAULKNER,32,10000000.0,14637494.286607808,Faulkner,113237.0,15.734256470941476,65193.19701615422,952.98642932175,40.6862473012936,38.53676252620854,11.133860724646777,2.47280423247681,123.9004801566008,289.62154708570944,0.1017535102808374,88.31035792188065
FRANKLIN,20,0.0,0.0,Franklin,18125.0,4.987586206896552,46157.94089089516,770.1627487721092,35.114160915795544,53.92576717924344,4.999785048511756,1.8555011565387347,257.1527402161944,288.7699002522581,0.0968108453594014,0.0
FULTON,6,50000000.0,73187471.43303904,Fulton,12245.0,3.168640261331156,44047.5510036056,659.3168952105159,34.446059764540216,54.39580258884642,5.123837214102714,0.5548770618879545,228.11566651566943,288.16678776635064,0.0928731050669056,4083.299305839118
GARLAND,42,0.0,0.0,Garland,96024.0,13.600766475047903,53039.0211509525,952.98642932175,6.925240922707722,67.28242938324942,11.61590500286228,7.671830946625252,213.58195085026765,289.9195403464512,0.1011658812498984,0.0
GRANT,55,0.0,0.0,Grant,17853.0,5.113986444855207,74265.28232972774,941.4699770036624,5.142072135420174,49.32498172031993,5.762619128128346,0.2845834701579637,82.39188040461583,290.6798420517488,0.102896739808218,0.0
GREENE,18,6600000.0,9660746.229161153,Greene,42090.0,3.592302209550962,55004.01582772621,817.6681145842206,66.50162241247587,18.95760427457889,6.828560221334184,1.709956235129777,94.32004885957004,289.07523632742954,0.0966823717243112,156.80684248039915
HEMPSTEAD,60,0.0,0.0,Hempstead,22609.0,40.5944535362024,51403.684921784064,785.9978707094797,25.797459153028136,45.68062748411676,5.267641154992487,1.8078590774943024,105.84318109918816,291.05669934010075,0.1052715143694441,0.0
HOT SPRING,54,0.0,0.0,Hot Spring,32923.0,14.409379461166964,53479.52545211936,775.920974931153,13.124852918176982,64.26789083924682,6.928091840184749,1.2569180116401402,134.97925752764226,290.38727246683953,0.1037486230435682,0.0
INDEPENDENCE,16,50000000.0,73187471.43303904,Independence,36647.0,8.074330777416979,49844.64518922295,803.2725491866111,40.20905752484873,47.20072363853314,5.741393029877028,1.239052518786573,139.1030066060727,289.11503794781896,0.0954838984393025,1364.3681611045924
IZARD,15,50000000.0,73187471.43303904,Izard,13696.0,4.220210280373832,45595.07428384863,679.4706867671692,25.586624633303927,62.57666791671591,5.473721537101556,0.6857420835660434,203.36785701962123,288.5664294862609,0.0914399913799385,3650.700934579439
JACKSON,25,35000000.0,51231230.00312733,Jackson,17997.0,20.19225426459965,39753.353845498685,693.8662521647788,76.12788750574798,6.468696935707446,4.834756375258306,1.436952163949363,77.44474496057813,289.5931784173019,0.0949516409962589,1944.7685725398678
JEFFERSON,56,0.0,0.0,Jefferson,77435.0,58.02027506941305,51821.156318314745,895.404167731312,49.04916985740264,19.6350049685408,8.510771904691682,3.557661702798727,68.17990028779487,290.7977522586765,0.1031414057952537,0.0
JOHNSON,21,25000000.0,36593735.71651952,Johnson,25540.0,12.764291307752544,44038.91366436704,774.481418391392,20.53126316291377,66.402423512706,5.566449731432593,2.766479640664476,313.7360021683773,288.2217072606581,0.1029062875079696,978.8566953797964
LAWRENCE,17,222000.0,324952.37316269334,Lawrence,17415.0,2.65862761986793,43601.2884762797,662.1960082900379,64.06426970342315,22.48277997583433,5.0441109640989765,1.0811994147883068,94.96637852462224,289.04217343203,0.0950549351801174,12.747631352282514
