COUNTY,Ag,AG11,For,FOR11,Urb,URB11,Wat,WAT11,Total
Yell,581987.137254902,21.313504560228566,413847.1725490196,15.155890972033564,99076.35294117643,3.628369366001469,52518.30980392157,1.923322980609312,2730602.729411764
Baxter,270498.90588235296,16.020637019058164,756328.5960784317,44.79450985349401,123969.89411764705,7.342272488945643,104041.22745098038,6.161972206772489,1688440.3882352947
Boone,689885.9176470585,39.82220315712163,696036.4431372508,40.177229211905946,100506.0117647059,5.80149661940739,34368.33333333334,1.9838392365502013,1732415.2431372504
Independence,889529.6039215687,40.064887369912526,761247.8392156864,34.287008329241544,110783.25098039217,4.989736657930853,28469.25882352941,1.2822705880063823,2220222.4
Mississippi,2218095.9254901954,83.79689046727286,469.0823529411765,0.01772134473438315,163897.39215686274,6.1918385316924835,63145.83921568634,2.385570845431987,2646990.733333333
Washington,975203.9529411764,35.58110018417411,1329948.9921568572,48.524258117551845,272364.6941176471,9.937444817367853,19970.21176470588,0.7286292301791285,2740792.015686269
Benton,949453.8823529426,37.32565857690363,1007250.909803922,39.597819609147685,342797.0823529412,13.47630158229027,108351.7960784316,4.259608835971272,2543702.960784316
Madison,630633.7529411763,26.179540617844054,1511535.7058823537,62.74848154402507,97707.32941176477,4.056130816129916,1537.4313725490197,0.06382349006388995,2408880.1333333342
Crawford,481487.47058823536,27.737333232745204,781632.5333333334,45.02796722027772,117002.70588235295,6.740244015543856,37858.72549019603,2.180949970319437,1735882.3450980396
Sebastian,410765.80392156856,26.08411402910718,387032.4627450979,24.577018814197398,200651.54901960783,12.741610510849105,33529.40392156864,2.1291567770942854,1574773.839215686
Hot Spring,249223.3058823529,13.91949232811484,345266.44705882366,19.28364461732736,110688.43921568627,6.182113968109623,22471.76078431372,1.2550812642865088,1790462.6117647062
Garland,157624.98431372552,7.456018905116638,540476.1960784317,25.56574868680517,220333.25490196078,10.422262188494008,161803.3882352941,7.653666878044721,2114063.6352941184
Craighead,1562062.8823529407,76.15902856355657,33422.59607843137,1.6295326380019193,184229.4117647059,8.98218195396905,17044.26274509804,0.8310001523711968,2051054.1058823525
Poinsett,1732447.3176470587,78.84100819162262,12196.09411764706,0.5550254523994153,102434.13725490196,4.661619763066757,39453.05098039216,1.7954475635970195,2197393.6627450977
Greene,1106987.380392157,66.37496431909673,130879.43137254904,7.8475308222385936,99363.34117647055,5.9578260258739935,28433.219607843148,1.704855873134759,1667778.4941176472
Lincoln,786974.5450980384,47.792999550542866,79488.18823529412,4.827321249799275,56765.21176470587,3.4473538658344856,31549.858823529416,1.9160243466131277,1646631.4156862735
Jefferson,1293948.3372549019,49.20660403001608,128171.58039215687,4.874142206974225,212813.82352941175,8.092939451308695,98505.3843137255,3.7459883839204537,2629623.3254901962
Lonoke,1506366.003921571,65.19923508850101,151451.67450980388,6.555201926494059,143005.43529411757,6.189627866269901,99263.83529411764,4.296383559028049,2310404.4117647083
