COUNTY,Ag,AGPER,For,FORPER,Urb,URBPER,Wat,WATPER,Total
Washington,924887.2275,33.745254010796295,1328604.831,48.475215322471385,324886.82746999996,11.853757076277605,20259.50588,0.739184358618274,2740792.0153871
Benton,895163.4824,35.191352770360425,980853.8275,38.56007728014839,413044.12161000003,16.23790701820207,109187.3333,4.292456115293406,2543702.9608988
Madison,611279.6824,25.376093811757748,1519286.388,63.07023612734193,112501.384312,4.670277394212183,1568.239216,0.06510241810793975,2408880.1331463
Crawford,461311.04701999994,26.57501807801839,784946.8118,45.21889481862663,137760.77255,7.936066228215231,38060.44706,2.1925706640038705,1735882.3450870002
Sebastian,412209.82355000003,26.175810982595593,388289.2314,24.65682510953279,223150.96863,14.1703502481752,33702.92157,2.140175352882038,1574773.839191
Hot Spring,234995.58436,13.124852918176982,328299.8941,18.33603739768406,124044.894113,6.928091840184749,22504.64706,1.2569180116401402,1790462.6118479997
Garland,146404.0,6.925240922707722,533787.7451,25.249369801415245,245567.62357,11.615905002862279,162187.3882,7.671830946625252,2114063.6352440002
Craighead,1545069.2901,75.33049887445736,82626.84314,4.028506264437424,207812.80001,10.131999902889751,19313.4,0.9416328874595531,2051054.1058210002
Poinsett,1729804.42402,78.72073415569439,58854.23137,2.6783653904922216,109243.04313900002,4.971482577966193,33176.32157,1.5098032785153772,2197393.663274
Greene,1109099.7569,66.50162241247587,187879.9608,11.265282617061196,113885.25883600001,6.828560221334184,28518.28235,1.709956235129777,1667778.494216
Lincoln,782186.10589,47.50219742304234,60093.58431,3.649486080430714,62894.035287,3.8195575943342277,29704.07059,1.8039295441443166,1646631.4156460003
Jefferson,1289808.4112699998,49.04916985740264,101153.6784,3.8466984012434646,223801.24314,8.510771904691682,93553.10196,3.557661702798727,2629623.3249609997
Lonoke,1494827.8468,64.69983520391457,143212.9294,6.198608723462972,163133.819606,7.060833973148144,85279.87843,3.6911234243076643,2310404.4115239996
Cleveland,64327.341176999995,3.733388396075509,39071.59608,2.267611885587717,70974.7372596,4.119185647210304,5634.407843,0.32700609841673633,1723028.3686696002
Pulaski,493255.67059999995,21.22219231820546,446461.9137,19.208903536314356,558695.45878,24.03772157168423,124194.6471,5.343441226822175,2324244.65486
Grant,93657.99608,5.142072135420174,67773.13333,3.720924587460053,104960.67451000001,5.762619128128346,5183.419608,0.28458347015796376,1821405.7215349998
Saline,167040.7686,7.9460872152970925,480494.0235,22.85697946171933,257864.16074,12.266533063231059,25001.93333,1.189335660128322,2102176.380325
Perry,229038.53724,14.199088595531222,224879.1412,13.941229662324819,76534.4196086,4.744699375596106,29891.78431,1.8531208713206686,1613050.9764695999
Faulkner,777526.59609,40.6862473012936,485465.1216,25.403316224675958,212771.47451,11.133860724646775,47256.04314,2.47280423247681,1911030.5021060002
White,1411112.0548999999,47.05194964402366,492790.1412,16.4315348510412,215740.43925000002,7.193623106344953,44426.67843,1.4813577908862297,2999051.188263
St. Francis,1302299.92902,70.42958296598148,72466.9098,3.9190774124422263,92271.66274,4.990136743112799,29019.9098,1.5694235247808348,1849080.8466791997
Crittenden,1403686.894,76.64973299856564,949.0,0.051821098370701736,128389.57647000001,7.010841804030142,73627.96863,4.020529194109771,1831300.4352230001
Desha,1340270.7409019999,56.83078819972075,431.0,0.01827546402870451,72659.05097,3.080923137730957,189384.7569,8.030381235060089,2358353.250692
Arkansas,1640714.843,55.15237347467278,17301.00784,0.5815706793602291,117796.35686999999,3.9597061584272364,113496.7412,3.8151752484759363,2974876.2195220003
Monroe,974609.9098,54.50981624429668,10652.13333,0.5957725491906836,61595.349021,3.4450205388605513,46029.64706,2.574432681015236,1787953.02745489
Drew,445249.31768,18.514867489155282,45763.37255,1.902985013059698,104815.509804,4.358558672119191,13548.36471,0.5633836310125028,2404820.4392539994
Ashley,636954.10586,23.533303688233524,15109.8902,0.5582594279573101,143297.41568600002,5.294355700124628,43329.18431,1.6008670696202316,2706607.258795
Prairie,1180406.07041,60.713001653509316,102014.4471,5.247010711587466,77608.77647,3.99172953466203,99336.78824,5.109288015245988,1944239.352794
Dallas,37296.6431396,1.9398589520649985,53430.62353,2.7790134619122413,93682.372551,4.872572267791891,3121.568627,0.16235785142662948,1922647.1646249003
Bradley,62074.20392,3.3036944003832405,33424.02745,1.7788834226071009,90196.91764,4.8004329161132855,12813.2,0.6819402331046526,1878932.988257
Lafayette,389873.051,24.854688728896953,104793.4392,6.680657474185329,61857.68627,3.9434721989302433,53073.36078,3.38346510126792,1568609.6706039999
Pike,196981.9804,11.1458133474343,247604.4314,14.010178853811547,99019.823526,5.602829601344996,34451.5451,1.9493686195842248,1767318.1333630001
Montgomery,233308.9961,10.130610577099256,628597.7294,27.29461320673102,100518.0745172,4.364638680529635,54033.2549,2.3462012727979857,2303010.2117182002
Howard,371786.4784,21.701651952673952,183448.1373,10.708102253163988,111382.73333799999,6.5015525116493045,23465.28235,1.3696985235246877,1713171.32544
Sevier,342032.5608,20.447230423331632,187624.6078,11.216486464916196,91346.827451,5.46085327362468,50804.38431,3.0371639181729755,1672757.4039059996
Polk,331907.7922,13.372832936031958,760727.1608,30.650311533361823,126118.960785,5.081434760734644,9303.015686,0.3748260134103677,2481955.721631
Logan,619281.65887,29.41642133912154,366176.1451,17.39368769333775,103384.835295,4.910870250319841,56075.24706,2.6636233619807035,2105224.3294
Franklin,626142.756853,35.114160915795544,588949.1529,33.02833914440256,89154.32156999999,4.999785048511756,33086.61176,1.8555011565387347,1783163.090112
Johnson,403392.99214999995,20.53126316291377,869106.8235,44.2344345519205,109368.176473,5.566449731432593,54355.08235,2.7664796406644756,1964774.3489970001
Conway,586679.8626999999,35.976553768039004,302384.6745,18.542921263249664,102465.639209,6.283427833049901,38975.76078,2.3900829779612205,1630728.352923
Van Buren,321931.7412,15.44556767820911,975056.2706,46.781027436055986,111633.16862299999,5.355910711607321,36122.77647,1.7330903334119716,2084298.537335
Searcy,425325.3843,22.10832867758257,1235431.812,64.21749927620625,84026.14902499999,4.3676624737872105,3459.690196,0.17983400661980678,1923824.2315950003
Marion,351452.4275,19.073204706101336,927297.9922,50.32414928699664,95906.41960600001,5.204809045669457,134824.502,7.316880251294236,1842650.1100130999
Fulton,614914.102,34.446059764540216,796234.6588,44.603216212502936,91468.2196118,5.123837214102714,9905.392157,0.5548770618879545,1785150.7725508001
Izard,430022.6745,25.586624633303927,616544.4745,36.68479123132639,91994.329404,5.4737215371015555,11524.95294,0.6857420835660434,1680654.1724939998
Sharp,388165.38823333004,22.242216807003153,902312.8902,51.70331910046059,95026.23137499999,5.445086307707304,8037.470588,0.46055410610372605,1745174.01570833
Randolph,792954.0823,42.001352691891206,677957.2275,35.910175958298645,86535.984317,4.583655572206496,19262.8902,1.0203206758311114,1887925.105929
Lawrence,1092056.0549,64.06426970342315,286786.7098,16.824027522714434,85983.21569,5.0441109640989765,18430.40392,1.0811994147883068,1704625.776514
Stone,255043.4471,14.542250964189082,1034080.757,58.96196140901605,77646.3450999,4.427295230416368,8953.611765,0.5105234845398463,1753809.9688147001
Cleburne,347183.6314,20.38179079467055,494768.8784,29.045942432822287,109907.85882600001,6.452259791881759,112025.7451,6.576592597519819,1703401.01563
Woodruff,1239284.8271569,72.50078683249846,3083.313725,0.1803803824717045,57758.564709,3.3789983512709574,27364.88235,1.600903568314702,1709339.831056
Jackson,1405389.79614,76.12788750574798,93503.46275,5.0649443401258365,89253.984305,4.834756375258306,26527.43922,1.436952163949363,1846090.6274772002
Cross,1372813.7644500001,76.65713536633417,108576.0314,6.062823488591478,76068.858819,4.247641565559949,23415.59216,1.3075132726478198,1790849.29001
Lee,1282711.012,71.95097117178852,31360.48235,1.7591001717370713,57539.400001,3.227551390752354,53237.34118,2.986236466881482,1782757.051239
Clay,1346830.8625999999,72.96352602414782,139526.6039,7.558746445018253,86838.87450899999,4.704429231680667,14763.47059,0.7997996634267254,1845896.0743677
Chicot,1355586.9211765,68.19123894026144,168.0,0.008451046526785069,67844.152932,3.412821982134843,153519.5647,7.722624905068395,1987919.4779905
Carroll,679212.9647,36.957747967043325,761300.898,41.4243664029515,114398.49412,6.224720276597877,27410.80392,1.4914932951800342,1837809.3960316004
Scott,319940.949,12.379556078437492,286818.2588,11.097931447138384,101658.32156799998,3.933491153990693,10836.63922,0.41930482279648773,2584429.9017899996
